datetime_from_local,datetime_to_local,value,parameter
2025-01-26T00:00:00+04:00,2025-01-27T00:00:00+04:00,29.1,pm25
2025-01-27T00:00:00+04:00,2025-01-28T00:00:00+04:00,28.3,pm25
2025-01-28T00:00:00+04:00,2025-01-29T00:00:00+04:00,37.1,pm25
2025-01-29T00:00:00+04:00,2025-01-30T00:00:00+04:00,38.4,pm25
2025-01-30T00:00:00+04:00,2025-01-31T00:00:00+04:00,39.6,pm25
2025-01-31T00:00:00+04:00,2025-02-01T00:00:00+04:00,43.5,pm25
2025-02-01T00:00:00+04:00,2025-02-02T00:00:00+04:00,47.7,pm25
2025-02-02T00:00:00+04:00,2025-02-03T00:00:00+04:00,53.4,pm25
2025-02-03T00:00:00+04:00,2025-02-04T00:00:00+04:00,25.6,pm25
2025-02-04T00:00:00+04:00,2025-02-05T00:00:00+04:00,40.5,pm25
2025-02-05T00:00:00+04:00,2025-02-06T00:00:00+04:00,39.0,pm25
2025-02-06T00:00:00+04:00,2025-02-07T00:00:00+04:00,32.9,pm25
2025-02-07T00:00:00+04:00,2025-02-08T00:00:00+04:00,22.6,pm25
2025-02-08T00:00:00+04:00,2025-02-09T00:00:00+04:00,52.7,pm25
2025-02-09T00:00:00+04:00,2025-02-10T00:00:00+04:00,305.0,pm25
2025-02-10T00:00:00+04:00,2025-02-11T00:00:00+04:00,326.0,pm25
2025-02-11T00:00:00+04:00,2025-02-12T00:00:00+04:00,29.9,pm25
2025-02-12T00:00:00+04:00,2025-02-13T00:00:00+04:00,40.1,pm25
2025-02-13T00:00:00+04:00,2025-02-14T00:00:00+04:00,44.5,pm25
2025-02-14T00:00:00+04:00,2025-02-15T00:00:00+04:00,38.1,pm25
2025-02-15T00:00:00+04:00,2025-02-16T00:00:00+04:00,33.8,pm25
2025-02-16T00:00:00+04:00,2025-02-17T00:00:00+04:00,31.6,pm25
2025-02-17T00:00:00+04:00,2025-02-18T00:00:00+04:00,33.5,pm25
2025-02-18T00:00:00+04:00,2025-02-19T00:00:00+04:00,24.3,pm25
2025-02-19T00:00:00+04:00,2025-02-20T00:00:00+04:00,22.5,pm25
2025-02-20T00:00:00+04:00,2025-02-21T00:00:00+04:00,8.27,pm25
2025-02-21T00:00:00+04:00,2025-02-22T00:00:00+04:00,5.61,pm25
2025-02-22T00:00:00+04:00,2025-02-23T00:00:00+04:00,9.65,pm25
2025-02-23T00:00:00+04:00,2025-02-24T00:00:00+04:00,19.2,pm25
2025-02-24T00:00:00+04:00,2025-02-25T00:00:00+04:00,7.68,pm25
2025-02-25T00:00:00+04:00,2025-02-26T00:00:00+04:00,5.72,pm25
2025-02-26T00:00:00+04:00,2025-02-27T00:00:00+04:00,11.0,pm25
2025-02-27T00:00:00+04:00,2025-02-28T00:00:00+04:00,10.0,pm25
2025-02-28T00:00:00+04:00,2025-03-01T00:00:00+04:00,14.9,pm25
2025-03-01T00:00:00+04:00,2025-03-02T00:00:00+04:00,16.3,pm25
2025-03-02T00:00:00+04:00,2025-03-03T00:00:00+04:00,11.8,pm25
2025-03-03T00:00:00+04:00,2025-03-04T00:00:00+04:00,17.8,pm25
2025-03-04T00:00:00+04:00,2025-03-05T00:00:00+04:00,19.8,pm25
2025-03-05T00:00:00+04:00,2025-03-06T00:00:00+04:00,25.6,pm25
2025-03-06T00:00:00+04:00,2025-03-07T00:00:00+04:00,19.4,pm25
2025-03-07T00:00:00+04:00,2025-03-08T00:00:00+04:00,23.0,pm25
2025-03-08T00:00:00+04:00,2025-03-09T00:00:00+04:00,27.2,pm25
2025-03-09T00:00:00+04:00,2025-03-10T00:00:00+04:00,28.1,pm25
2025-03-10T00:00:00+04:00,2025-03-11T00:00:00+04:00,22.4,pm25
2025-03-11T00:00:00+04:00,2025-03-12T00:00:00+04:00,23.8,pm25
2025-03-12T00:00:00+04:00,2025-03-13T00:00:00+04:00,24.0,pm25
2025-03-13T00:00:00+04:00,2025-03-14T00:00:00+04:00,26.1,pm25
2025-03-14T00:00:00+04:00,2025-03-15T00:00:00+04:00,24.6,pm25
2025-03-15T00:00:00+04:00,2025-03-16T00:00:00+04:00,27.5,pm25
2025-03-16T00:00:00+04:00,2025-03-17T00:00:00+04:00,24.6,pm25
2025-03-17T00:00:00+04:00,2025-03-18T00:00:00+04:00,23.9,pm25
2025-03-18T00:00:00+04:00,2025-03-19T00:00:00+04:00,20.2,pm25
2025-03-19T00:00:00+04:00,2025-03-20T00:00:00+04:00,15.5,pm25
2025-03-20T00:00:00+04:00,2025-03-21T00:00:00+04:00,16.8,pm25
2025-03-21T00:00:00+04:00,2025-03-22T00:00:00+04:00,8.91,pm25
2025-03-22T00:00:00+04:00,2025-03-23T00:00:00+04:00,7.97,pm25
2025-03-23T00:00:00+04:00,2025-03-24T00:00:00+04:00,10.4,pm25
2025-03-24T00:00:00+04:00,2025-03-25T00:00:00+04:00,10.7,pm25
2025-03-25T00:00:00+04:00,2025-03-26T00:00:00+04:00,10.3,pm25
2025-03-26T00:00:00+04:00,2025-03-27T00:00:00+04:00,9.91,pm25
2025-03-27T00:00:00+04:00,2025-03-28T00:00:00+04:00,11.4,pm25
2025-03-28T00:00:00+04:00,2025-03-29T00:00:00+04:00,9.62,pm25
2025-03-29T00:00:00+04:00,2025-03-30T00:00:00+04:00,11.7,pm25
2025-03-30T00:00:00+04:00,2025-03-31T00:00:00+04:00,13.6,pm25
2025-03-31T00:00:00+04:00,2025-04-01T00:00:00+04:00,7.64,pm25
2025-04-01T00:00:00+04:00,2025-04-02T00:00:00+04:00,7.83,pm25
2025-04-02T00:00:00+04:00,2025-04-03T00:00:00+04:00,11.0,pm25
2025-04-03T00:00:00+04:00,2025-04-04T00:00:00+04:00,5.91,pm25
2025-04-04T00:00:00+04:00,2025-04-05T00:00:00+04:00,7.31,pm25
2025-04-05T00:00:00+04:00,2025-04-06T00:00:00+04:00,8.6,pm25
2025-04-06T00:00:00+04:00,2025-04-07T00:00:00+04:00,8.27,pm25
2025-04-07T00:00:00+04:00,2025-04-08T00:00:00+04:00,11.2,pm25
2025-04-08T00:00:00+04:00,2025-04-09T00:00:00+04:00,16.3,pm25
2025-04-09T00:00:00+04:00,2025-04-10T00:00:00+04:00,10.0,pm25
2025-04-10T00:00:00+04:00,2025-04-11T00:00:00+04:00,4.98,pm25
2025-04-11T00:00:00+04:00,2025-04-12T00:00:00+04:00,7.39,pm25
2025-04-12T00:00:00+04:00,2025-04-13T00:00:00+04:00,6.66,pm25
2025-04-13T00:00:00+04:00,2025-04-14T00:00:00+04:00,10.8,pm25
2025-04-14T00:00:00+04:00,2025-04-15T00:00:00+04:00,17.3,pm25
2025-04-15T00:00:00+04:00,2025-04-16T00:00:00+04:00,10.3,pm25
2025-04-16T00:00:00+04:00,2025-04-17T00:00:00+04:00,11.6,pm25
